,timestamp_ns,pres_mb
12262,1667915400000000000,996.7000122070312
12263,1667915700000000000,996.7000122070312
12264,1667916000000000000,996.7000122070312
12265,1667916300000000000,996.7000122070312
12266,1667916600000000000,996.7166798909506
12267,1667916900000000000,996.7333475748698
12268,1667917200000000000,996.7500152587891
12269,1667917500000000000,996.7666829427084
12270,1667917800000000000,996.7833506266276
12271,1667918100000000000,996.8000183105469
12272,1667918400000000000,996.8166859944662
12273,1667918700000000000,996.8333536783854
12274,1667919000000000000,996.8500213623047
12275,1667919300000000000,996.866689046224
12276,1667919600000000000,996.8833567301432
12277,1667919900000000000,996.9000244140625
12278,1667920200000000000,996.8916880289713
12279,1667920500000000000,996.8833516438802
12280,1667920800000000000,996.8750152587891
12281,1667921100000000000,996.8666788736979
12282,1667921400000000000,996.8583424886068
12283,1667921700000000000,996.8500061035156
12284,1667922000000000000,996.8416697184244
12285,1667922300000000000,996.8333333333334
12286,1667922600000000000,996.8249969482422
12287,1667922900000000000,996.816660563151
12288,1667923200000000000,996.8083241780599
12289,1667923500000000000,996.7999877929688
12290,1667923800000000000,996.8083241780599
12291,1667924100000000000,996.816660563151
12292,1667924400000000000,996.8249969482422
12293,1667924700000000000,996.8333333333334
12294,1667925000000000000,996.8416697184244
12295,1667925300000000000,996.8500061035156
12296,1667925600000000000,996.8583424886068
12297,1667925900000000000,996.8666788736979
12298,1667926200000000000,996.8750152587891
12299,1667926500000000000,996.8833516438802
12300,1667926800000000000,996.8916880289713
12301,1667927100000000000,996.9000244140625
12302,1667927400000000000,996.9416910807291
12303,1667927700000000000,996.9833577473959
12304,1667928000000000000,997.0250244140625
12305,1667928300000000000,997.0666910807291
12306,1667928600000000000,997.1083577473959
12307,1667928900000000000,997.1500244140625
12308,1667929200000000000,997.1916910807291
12309,1667929500000000000,997.2333577473959
12310,1667929800000000000,997.2750244140625
12311,1667930100000000000,997.3166910807291
12312,1667930400000000000,997.3583577473959
12313,1667930700000000000,997.4000244140625
12314,1667931000000000000,997.4583536783854
12315,1667931300000000000,997.5166829427084
12316,1667931600000000000,997.5750122070312
12317,1667931900000000000,997.6333414713541
12318,1667932200000000000,997.6916707356771
12319,1667932500000000000,997.75
12320,1667932800000000000,997.8083292643229
12321,1667933100000000000,997.8666585286459
12322,1667933400000000000,997.9249877929688
12323,1667933700000000000,997.9833170572916
12324,1667934000000000000,998.0416463216146
12325,1667934300000000000,998.0999755859375
12326,1667934600000000000,998.1083119710287
12327,1667934900000000000,998.1166483561198
12328,1667935200000000000,998.1249847412109
12329,1667935500000000000,998.1333211263021
12330,1667935800000000000,998.1416575113932
12331,1667936100000000000,998.1499938964844
12332,1667936400000000000,998.1583302815756
12333,1667936700000000000,998.1666666666666
12334,1667937000000000000,998.1750030517578
12335,1667937300000000000,998.183339436849
12336,1667937600000000000,998.1916758219401
12337,1667937900000000000,998.2000122070312
12338,1667938200000000000,998.2583465576172
12339,1667938500000000000,998.3166809082031
12340,1667938800000000000,998.3750152587891
12341,1667939100000000000,998.433349609375
12342,1667939400000000000,998.4916839599609
12343,1667939700000000000,998.5500183105469
12344,1667940000000000000,998.6083526611328
12345,1667940300000000000,998.6666870117188
12346,1667940600000000000,998.7250213623047
12347,1667940900000000000,998.7833557128906
12348,1667941200000000000,998.8416900634766
12349,1667941500000000000,998.9000244140625
12350,1667941800000000000,998.9250233968099
12351,1667942100000000000,998.9500223795573
12352,1667942400000000000,998.9750213623047
12353,1667942700000000000,999.0000203450521
12354,1667943000000000000,999.0250193277994
12355,1667943300000000000,999.0500183105469
12356,1667943600000000000,999.0750172932943
12357,1667943900000000000,999.1000162760416
12358,1667944200000000000,999.1250152587891
12359,1667944500000000000,999.1500142415365
12360,1667944800000000000,999.1750132242838
12361,1667945100000000000,999.2000122070312
12362,1667945400000000000,999.250010172526
12363,1667945700000000000,999.3000081380209
12364,1667946000000000000,999.3500061035156
12365,1667946300000000000,999.4000040690104
12366,1667946600000000000,999.4500020345052
12367,1667946900000000000,999.5
12368,1667947200000000000,999.5499979654948
12369,1667947500000000000,999.5999959309896
12370,1667947800000000000,999.6499938964844
12371,1667948100000000000,999.6999918619791
12372,1667948400000000000,999.749989827474
12373,1667948700000000000,999.7999877929688
12374,1667949000000000000,999.7999877929688
12375,1667949300000000000,999.7999877929688
12376,1667949600000000000,999.7999877929688
12377,1667949900000000000,999.7999877929688
12378,1667950200000000000,999.7999877929688
12379,1667950500000000000,999.7999877929688
12380,1667950800000000000,999.7999877929688
12381,1667951100000000000,999.7999877929688
12382,1667951400000000000,999.7999877929688
12383,1667951700000000000,999.7999877929688
12384,1667952000000000000,999.7999877929688
12385,1667952300000000000,999.7999877929688
12386,1667952600000000000,999.8166554768881
12387,1667952900000000000,999.8333231608073
12388,1667953200000000000,999.8499908447266
12389,1667953500000000000,999.8666585286459
12390,1667953800000000000,999.8833262125651
12391,1667954100000000000,999.8999938964844
12392,1667954400000000000,999.9166615804037
12393,1667954700000000000,999.9333292643229
12394,1667955000000000000,999.9499969482422
12395,1667955300000000000,999.9666646321615
12396,1667955600000000000,999.9833323160807
12397,1667955900000000000,1000.0
12398,1667956200000000000,1000.0416666666666
12399,1667956500000000000,1000.0833333333334
12400,1667956800000000000,1000.125
12401,1667957100000000000,1000.1666666666666
12402,1667957400000000000,1000.2083333333334
12403,1667957700000000000,1000.25
12404,1667958000000000000,1000.2916666666666
12405,1667958300000000000,1000.3333333333334
12406,1667958600000000000,1000.375
12407,1667958900000000000,1000.4166666666666
12408,1667959200000000000,1000.4583333333334
12409,1667959500000000000,1000.5
12410,1667959800000000000,1000.4818170720881
12411,1667960100000000000,1000.4636341441761
12412,1667960400000000000,1000.4454512162642
12413,1667960700000000000,1000.4272682883523
12414,1667961000000000000,1000.4090853604404
12415,1667961300000000000,1000.3909024325284
12416,1667961600000000000,1000.3727195046165
12417,1667961900000000000,1000.3545365767045
12418,1667962200000000000,1000.3363536487926
12419,1667962500000000000,1000.3181707208806
12420,1667962800000000000,1000.2999877929688
12421,1667963100000000000,1000.2922973632812
12422,1667963400000000000,1000.2846069335938
12423,1667963700000000000,1000.2769165039062
12424,1667964000000000000,1000.2692260742188
12425,1667964300000000000,1000.2615356445312
12426,1667964600000000000,1000.2538452148438
12427,1667964900000000000,1000.2461547851562
12428,1667965200000000000,1000.2384643554688
12429,1667965500000000000,1000.2307739257812
12430,1667965800000000000,1000.2230834960938
12431,1667966100000000000,1000.2153930664062
12432,1667966400000000000,1000.2077026367188
12433,1667966700000000000,1000.2000122070312
12434,1667967000000000000,1000.2666778564453
12435,1667967300000000000,1000.3333435058594
12436,1667967600000000000,1000.4000091552734
12437,1667967900000000000,1000.4666748046875
12438,1667968200000000000,1000.5333404541016
12439,1667968500000000000,1000.6000061035156
12440,1667968800000000000,1000.6666717529297
12441,1667969100000000000,1000.7333374023438
12442,1667969400000000000,1000.8000030517578
12443,1667969700000000000,1000.8666687011719
12444,1667970000000000000,1000.9333343505859
12445,1667970300000000000,1001.0
12446,1667970600000000000,1001.0083312988281
12447,1667970900000000000,1001.0166625976562
12448,1667971200000000000,1001.0249938964844
12449,1667971500000000000,1001.0333251953125
12450,1667971800000000000,1001.0416564941406
12451,1667972100000000000,1001.0499877929688
12452,1667972400000000000,1001.0583190917969
12453,1667972700000000000,1001.066650390625
12454,1667973000000000000,1001.0749816894531
12455,1667973300000000000,1001.0833129882812
12456,1667973600000000000,1001.0916442871094
12457,1667973900000000000,1001.0999755859375
12458,1667974200000000000,1001.2083129882812
12459,1667974500000000000,1001.316650390625
12460,1667974800000000000,1001.4249877929688
12461,1667975100000000000,1001.5333251953125
12462,1667975400000000000,1001.6416625976562
12463,1667975700000000000,1001.75
12464,1667976000000000000,1001.8583374023438
12465,1667976300000000000,1001.9666748046875
12466,1667976600000000000,1002.0750122070312
12467,1667976900000000000,1002.183349609375
